T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
1520	0.437550	0.482614	0.418365	0.439349	0.465627	0.434153	0.455735	0.461930	0.431954	0.442446	
1530	0.439448	0.487310	0.421163	0.437950	0.464728	0.431255	0.451339	0.458833	0.424760	0.434952	
1540	0.438249	0.486611	0.423062	0.446843	0.458433	0.429456	0.452638	0.462330	0.427758	0.432654	
1550	0.436751	0.480815	0.422562	0.436651	0.456934	0.435252	0.456235	0.464129	0.423361	0.433453	
1560	0.443745	0.483613	0.423461	0.436451	0.457034	0.432054	0.453537	0.459133	0.426359	0.433353	
1570	0.440048	0.484412	0.418965	0.441747	0.454936	0.431954	0.459033	0.466527	0.423461	0.432254	
1580	0.441247	0.478018	0.419365	0.440248	0.452238	0.429257	0.453337	0.464029	0.423361	0.435751	
1590	0.438949	0.481415	0.416567	0.444744	0.453937	0.434353	0.455935	0.464329	0.422762	0.434752	
1600	0.436051	0.479416	0.418066	0.441747	0.451339	0.433553	0.455536	0.462030	0.426958	0.432054	
1610	0.437650	0.481815	0.415168	0.442946	0.451239	0.424660	0.454736	0.464728	0.429257	0.436251	
1620	0.437650	0.481515	0.424560	0.448241	0.457434	0.429257	0.452438	0.457934	0.428058	0.434053	
1630	0.434053	0.481115	0.422562	0.445943	0.454736	0.432054	0.455935	0.461331	0.431255	0.433953	
1640	0.436151	0.481715	0.419964	0.441247	0.456135	0.429456	0.453237	0.466627	0.430855	0.435951	
1650	0.439149	0.486711	0.421363	0.450440	0.464329	0.437950	0.451439	0.460532	0.424361	0.427558	
1660	0.444045	0.488010	0.419564	0.455835	0.461631	0.433653	0.453337	0.470124	0.423261	0.428857	
1670	0.436351	0.493605	0.422062	0.453937	0.463129	0.429456	0.456735	0.462830	0.424261	0.435352	
1680	0.439448	0.481215	0.422762	0.453337	0.461831	0.432054	0.450639	0.460931	0.428257	0.435951	
1690	0.437250	0.489908	0.423361	0.448941	0.461531	0.433054	0.450739	0.466527	0.427258	0.430456	
1700	0.439448	0.488909	0.424960	0.453038	0.456934	0.437050	0.453137	0.463829	0.424261	0.431855	
1710	0.447042	0.484512	0.425759	0.450540	0.459532	0.435352	0.453237	0.464928	0.423961	0.434153	
1720	0.438249	0.483213	0.414968	0.443945	0.455935	0.429456	0.449241	0.458333	0.432654	0.428457	
1730	0.437150	0.489109	0.424261	0.451739	0.457834	0.435651	0.455835	0.463229	0.426359	0.428557	
1740	0.433253	0.487010	0.422862	0.451739	0.455336	0.433453	0.452438	0.464329	0.427158	0.434952	
1750	0.436551	0.486011	0.423961	0.451639	0.457534	0.432954	0.451139	0.458833	0.428757	0.424760	
1760	0.444544	0.482714	0.421863	0.450639	0.455835	0.434053	0.448341	0.459033	0.429456	0.427658	
