T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
1850	0.105680	0.121444	0.124359	0.090539	0.153160	0.098498	0.093502	0.130096	0.130272	0.089317	
1860	0.106809	0.111440	0.127333	0.091879	0.155429	0.094971	0.089423	0.125088	0.128791	0.085014	
1870	0.114356	0.118341	0.126569	0.091950	0.154465	0.093278	0.092444	0.129614	0.131401	0.086825	
1880	0.120210	0.107420	0.130695	0.092408	0.153983	0.093090	0.093760	0.131189	0.129931	0.086448	
1890	0.119305	0.105375	0.130131	0.095312	0.152149	0.092079	0.092115	0.130472	0.131166	0.082393	
1900	0.117765	0.126522	0.131060	0.095735	0.151561	0.094125	0.093831	0.130837	0.132212	0.083416	
1910	0.112134	0.123948	0.132224	0.096064	0.155934	0.092573	0.096511	0.126275	0.130237	0.085743	
1920	0.115096	0.118540	0.129602	0.097299	0.152784	0.093220	0.098639	0.125652	0.130601	0.084097	
1930	0.111205	0.103917	0.129132	0.091821	0.154500	0.092585	0.102800	0.122796	0.131483	0.082722	
1940	0.110923	0.098133	0.128427	0.092467	0.148187	0.092702	0.099803	0.122478	0.132917	0.080771	
1950	0.111252	0.100802	0.127040	0.092502	0.154183	0.092432	0.101648	0.125300	0.132012	0.084321	
1960	0.109512	0.116025	0.127474	0.089587	0.151138	0.093995	0.102847	0.129108	0.129085	0.080101	
1970	0.111805	0.127498	0.127522	0.092608	0.156769	0.092961	0.103611	0.125488	0.130449	0.078808	
1980	0.115308	0.117894	0.127392	0.090281	0.152725	0.093643	0.104751	0.121902	0.127851	0.078161	
1990	0.113662	0.104105	0.126605	0.088118	0.154547	0.092162	0.102142	0.126005	0.130119	0.074035	
2000	0.112087	0.091374	0.125018	0.090093	0.154100	0.095512	0.101119	0.130249	0.131142	0.078055	
2010	0.112792	0.101871	0.123901	0.091879	0.149022	0.096781	0.100837	0.130143	0.128638	0.087530	
2020	0.108019	0.113744	0.125194	0.092173	0.151244	0.093737	0.103776	0.132847	0.129167	0.084756	
2030	0.111852	0.116272	0.126099	0.090810	0.155099	0.093596	0.102953	0.131354	0.131589	0.084485	
2040	0.108443	0.110617	0.128015	0.087377	0.165632	0.092056	0.103564	0.128920	0.129884	0.086272	
2050	0.108149	0.113674	0.124841	0.090445	0.167055	0.092738	0.103858	0.127016	0.129402	0.087436	
2060	0.107232	0.097028	0.126417	0.087024	0.164010	0.094254	0.103905	0.120915	0.130402	0.085332	
2070	0.105586	0.098157	0.127098	0.086319	0.164856	0.092691	0.101002	0.123196	0.129626	0.085296	
2080	0.104011	0.104622	0.125229	0.088447	0.168994	0.090281	0.097816	0.123325	0.128897	0.086731	
2090	0.103635	0.083933	0.128074	0.088800	0.162541	0.092408	0.098886	0.119328	0.130049	0.083181	
2100	0.105469	0.081335	0.125876	0.091057	0.154817	0.092455	0.102706	0.118623	0.127557	0.083721	
2110	0.097193	0.079348	0.126922	0.088224	0.146354	0.093290	0.100143	0.114861	0.126064	0.084062	
2120	0.099085	0.095065	0.129167	0.085473	0.146788	0.093102	0.100249	0.108325	0.128438	0.086966	
2130	0.103447	0.088894	0.127310	0.086460	0.154547	0.091832	0.098357	0.111758	0.128427	0.089775	
2140	0.099415	0.102730	0.127216	0.090093	0.154371	0.092267	0.099544	0.104928	0.130848	0.091421	
2150	0.094818	0.082416	0.127627	0.090739	0.159496	0.093031	0.097593	0.101766	0.129132	0.091973	
2160	0.097510	0.081582	0.126405	0.088588	0.163986	0.091750	0.100649	0.098004	0.130707	0.094501	
2170	0.092808	0.099403	0.127639	0.086966	0.169276	0.093078	0.097146	0.103835	0.131318	0.092620	
2180	0.100108	0.102048	0.127404	0.087224	0.158650	0.092526	0.096969	0.106715	0.130049	0.095265	
2190	0.098991	0.107867	0.129061	0.088165	0.163528	0.092220	0.099297	0.104046	0.129861	0.087083	
2200	0.097745	0.112381	0.130178	0.085684	0.162658	0.094712	0.102777	0.111593	0.129014	0.086343	
2210	0.103494	0.119610	0.128920	0.085120	0.167960	0.094595	0.107867	0.112463	0.127557	0.087130	
2220	0.102577	0.118740	0.132153	0.087777	0.170863	0.092796	0.107902	0.113944	0.130907	0.087894	
2230	0.103329	0.127404	0.131847	0.085614	0.161294	0.091033	0.110570	0.123489	0.130566	0.087271	
2240	0.102612	0.122008	0.131530	0.087213	0.158297	0.094195	0.102953	0.117106	0.128391	0.087401	
2250	0.103788	0.129320	0.127651	0.085755	0.154782	0.092408	0.105727	0.120327	0.125570	0.086648	
2260	0.103964	0.141216	0.129320	0.089740	0.150950	0.093490	0.102777	0.117118	0.128756	0.086590	
2270	0.105974	0.132036	0.126957	0.089634	0.145966	0.093702	0.103505	0.114109	0.124618	0.085943	
2280	0.106244	0.119669	0.128932	0.085108	0.141381	0.093043	0.102683	0.115508	0.130237	0.089058	
2290	0.103494	0.124465	0.126287	0.083486	0.140499	0.092032	0.107749	0.107890	0.128615	0.087506	
2300	0.106938	0.113133	0.124536	0.080465	0.144767	0.094642	0.100120	0.113956	0.127051	0.090163	
2310	0.105633	0.103646	0.125594	0.076786	0.144202	0.094336	0.101425	0.115590	0.128250	0.090375	
2320	0.101836	0.097933	0.125347	0.076938	0.140158	0.092984	0.101542	0.117659	0.126369	0.090234	
2330	0.100296	0.095065	0.128579	0.074646	0.138278	0.089881	0.096922	0.111334	0.129261	0.092420	
2340	0.095864	0.093396	0.131224	0.072142	0.135727	0.093490	0.094536	0.109524	0.126710	0.090151	
2350	0.093302	0.089364	0.125570	0.074270	0.138524	0.094007	0.095712	0.125982	0.131271	0.091233	
2360	0.091468	0.087906	0.126534	0.074670	0.134645	0.093102	0.092173	0.126170	0.131624	0.093596	
2370	0.092103	0.088800	0.129203	0.076727	0.132318	0.093984	0.094807	0.128344	0.129461	0.093020	
2380	0.090774	0.093455	0.126111	0.075551	0.131342	0.091397	0.096158	0.125147	0.130061	0.093231	
2390	0.090245	0.094372	0.126522	0.075457	0.131436	0.093937	0.095935	0.128215	0.131989	0.094560	
2400	0.087753	0.095441	0.130084	0.074975	0.131883	0.092702	0.094830	0.126205	0.134057	0.093772	
2410	0.089587	0.095218	0.126346	0.078173	0.135127	0.092984	0.100085	0.117729	0.130507	0.092785	
2420	0.090163	0.098274	0.126475	0.076750	0.137149	0.091903	0.095676	0.122620	0.132482	0.100625	
2430	0.096064	0.099250	0.130155	0.076104	0.129320	0.094583	0.096687	0.125206	0.130860	0.101354	
2440	0.095042	0.101531	0.127004	0.074282	0.126369	0.094830	0.098486	0.129543	0.131283	0.097886	
