T	s_1	s_2	s_3	s_4	s_5	s_6	s_7	s_8	s_9	s_10
1680	0.118181	0.101706	0.126633	0.088784	0.157491	0.102471	0.094565	0.138592	0.130732	0.099384
1690	0.119201	0.0887	0.126123	0.088731	0.158083	0.10318	0.094857	0.138951	0.129384	0.10123
1700	0.117926	0.096737	0.126536	0.090827	0.156909	0.100725	0.092559	0.145124	0.127906	0.107784
1710	0.115522	0.089895	0.126323	0.091908	0.159374	0.103247	0.095117	0.143212	0.126548	0.103862
1720	0.115543	0.084105	0.128285	0.092125	0.156981	0.101531	0.096916	0.143483	0.127277	0.099332
1730	0.115718	0.078221	0.127269	0.092467	0.15601	0.097105	0.093812	0.141904	0.126389	0.101882
1740	0.1193	0.083798	0.126117	0.091542	0.155787	0.095796	0.100159	0.142385	0.12617	0.098671
1750	0.115586	0.088942	0.125429	0.091711	0.157884	0.094422	0.097924	0.141361	0.127352	0.101896
1760	0.114088	0.095111	0.125507	0.088128	0.157572	0.094898	0.096563	0.141665	0.128517	0.104757
1770	0.114062	0.110685	0.125563	0.089171	0.15621	0.094194	0.099391	0.141615	0.128283	0.09909
1780	0.111619	0.141627	0.124339	0.09079	0.155951	0.092925	0.092552	0.141071	0.128014	0.095176
1790	0.112643	0.150241	0.12307	0.091859	0.156228	0.094771	0.096478	0.135487	0.129661	0.092018
1800	0.11093	0.142611	0.122818	0.089965	0.156212	0.095771	0.092141	0.136204	0.129878	0.090509
1810	0.1073	0.139489	0.124476	0.090255	0.156211	0.095304	0.090658	0.132273	0.132776	0.093369
1820	0.107106	0.130187	0.123824	0.091355	0.155812	0.098559	0.088014	0.134967	0.12972	0.093258
1830	0.09989	0.134895	0.124394	0.089159	0.157111	0.098881	0.094698	0.135749	0.130163	0.090405
1840	0.101696	0.137019	0.1237	0.088869	0.155831	0.098632	0.089253	0.134321	0.129914	0.089349
1850	0.10552	0.129698	0.125272	0.089765	0.155588	0.09742	0.093851	0.12808	0.130154	0.087104
1860	0.105897	0.119688	0.128894	0.09135	0.155537	0.094541	0.087142	0.125392	0.129557	0.086087
1870	0.110688	0.118199	0.12863	0.092284	0.155219	0.09537	0.089433	0.128323	0.130319	0.088004
1880	0.12301	0.105863	0.131501	0.093249	0.154727	0.094015	0.093224	0.130797	0.130118	0.085964
1890	0.121002	0.105968	0.130044	0.095559	0.153909	0.091973	0.092114	0.130626	0.129651	0.08293
1900	0.117868	0.119155	0.133639	0.096199	0.153538	0.093143	0.091924	0.13016	0.131145	0.082748
1910	0.112375	0.123695	0.13067	0.095269	0.152972	0.092697	0.097658	0.127801	0.131695	0.084657
1920	0.117497	0.121685	0.130573	0.095628	0.152096	0.091702	0.098664	0.124036	0.129247	0.083619
1930	0.111009	0.099537	0.128108	0.092622	0.153364	0.093177	0.101686	0.121708	0.129505	0.081818
1940	0.11136	0.098223	0.127038	0.091383	0.150937	0.094934	0.100596	0.125493	0.132708	0.082204
1950	0.111432	0.097441	0.127221	0.092146	0.153905	0.091906	0.101664	0.126532	0.13222	0.083851
1960	0.109672	0.116888	0.126707	0.090939	0.151303	0.092779	0.104106	0.126041	0.129471	0.079148
1970	0.111063	0.128065	0.126677	0.09245	0.156253	0.092726	0.104911	0.125371	0.129273	0.078136
1980	0.11423	0.121201	0.126608	0.092169	0.153655	0.093822	0.103896	0.120904	0.128938	0.076988
1990	0.112926	0.104092	0.125919	0.090031	0.153374	0.09268	0.101636	0.128794	0.127981	0.073237
2000	0.109922	0.098704	0.126067	0.091271	0.155005	0.094079	0.101615	0.128755	0.129217	0.079296
2010	0.111081	0.101815	0.12588	0.091085	0.150777	0.096923	0.101573	0.131702	0.129565	0.085993
2020	0.10929	0.113597	0.124721	0.090701	0.150525	0.093226	0.103289	0.13063	0.12953	0.085265
2030	0.108167	0.117484	0.126026	0.090231	0.155603	0.093511	0.102948	0.130985	0.131667	0.084093
2040	0.108299	0.112341	0.127248	0.089062	0.164277	0.092613	0.104219	0.132018	0.12991	0.085334
2050	0.107441	0.108053	0.126001	0.090456	0.168159	0.092665	0.10417	0.126316	0.129886	0.087557
2060	0.10717	0.098196	0.126928	0.086872	0.163054	0.092944	0.103015	0.123969	0.130379	0.086706
2070	0.105777	0.095905	0.126716	0.088687	0.162585	0.09228	0.10016	0.124646	0.128963	0.086512
2080	0.103793	0.105403	0.125897	0.088659	0.170083	0.092725	0.097869	0.120841	0.129125	0.086771
2090	0.102903	0.08108	0.125957	0.089781	0.164819	0.092816	0.099973	0.119821	0.128156	0.083725
2100	0.102492	0.079915	0.126342	0.090659	0.153383	0.092621	0.101484	0.116176	0.127749	0.0839
2110	0.098709	0.079169	0.126821	0.08709	0.14958	0.092792	0.10015	0.11339	0.128796	0.08538
2120	0.099484	0.092965	0.127469	0.08609	0.146627	0.092563	0.101886	0.10811	0.129375	0.085576
2130	0.103724	0.094727	0.127101	0.088339	0.155378	0.092138	0.098341	0.108974	0.129837	0.089428
2140	0.098314	0.097341	0.126717	0.089722	0.157505	0.092528	0.099098	0.103493	0.130237	0.089942
2150	0.095141	0.086256	0.126549	0.089999	0.158809	0.092567	0.098439	0.099885	0.129383	0.093459
2160	0.096775	0.0835	0.126092	0.089134	0.166456	0.092605	0.098797	0.101349	0.129902	0.092835
2170	0.093859	0.10491	0.125932	0.089179	0.168147	0.093756	0.097293	0.102851	0.12939	0.093623
2180	0.097038	0.099951	0.127438	0.087634	0.160113	0.09318	0.098264	0.10479	0.129918	0.093116
