essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.605263,12,0.058998,0.019183,0.014857,0.011801,0.16486,0.098979,0.058997,0.034536,0.022506,0.011333,0.040215,0.009402,0.018876,0.00469,0.022525,0.011833
0.631579,12,0.458149,0.044535,0.062225,0.023763,0.209745,0.076541,0.458114,0.06729,0.29591,0.027598,0.061244,0.016554,0.01466,0.023882,0.295917,0.028159
0.657895,12,0.61093,0.06,0.102812,0.027667,0.244749,0.060237,0.610936,0.082877,0.20454,0.026423,0.06246,0.015671,0.013454,0.019214,0.204542,0.020427
0.684211,12,0.540616,0.04974,0.10187,0.028306,0.269204,0.065166,0.540601,0.077552,0.185927,0.024356,0.071971,0.017729,0.016324,0.018837,0.185929,0.016497
0.710526,12,0.577595,0.047454,0.141485,0.022637,0.28265,0.064716,0.577598,0.072493,0.259283,0.023572,0.103947,0.013386,0.020523,0.022892,0.259298,0.01697
0.736842,12,0.728693,0.05303,0.246804,0.028024,0.325614,0.044568,0.728667,0.074501,0.147558,0.024715,0.039267,0.011351,0.012326,0.014403,0.147591,0.023037
0.763158,12,0.755302,0.052326,0.276007,0.023405,0.34133,0.040899,0.75529,0.071999,0.17692,0.030316,0.033638,0.009885,0.009642,0.015171,0.176916,0.028813
0.789474,12,0.709035,0.078768,0.316854,0.024244,0.365202,0.045948,0.709039,0.097693,0.127795,0.043798,0.012912,0.010717,0.01412,0.00797,0.127791,0.036705
0.815789,12,0.607707,0.063623,0.316954,0.02689,0.389174,0.05118,0.607689,0.085262,0.190836,0.02882,0.038083,0.010715,0.012551,0.012969,0.190857,0.026111
0.842105,12,0.773977,0.05911,0.370031,0.024385,0.411891,0.036985,0.773982,0.073442,0.184087,0.029544,0.0309,0.01004,0.008112,0.017314,0.184105,0.033426
0.868421,12,0.798312,0.049004,0.386357,0.024211,0.420979,0.032925,0.798316,0.062702,0.216876,0.02671,0.023846,0.01208,0.010115,0.019139,0.216883,0.031285
0.894737,12,0.699593,0.062949,0.405849,0.024903,0.436825,0.042749,0.69956,0.082191,0.195881,0.035183,0.029394,0.011561,0.017484,0.015185,0.195901,0.032154
0.921053,12,0.645487,0.068903,0.436284,0.024527,0.453082,0.048411,0.645458,0.091962,0.105514,0.036463,0.027336,0.011301,0.015648,0.00629,0.105522,0.028723
0.947368,12,0.806099,0.055906,0.475923,0.022145,0.481169,0.038006,0.806124,0.072506,0.135189,0.029852,0.023353,0.009351,0.011953,0.010819,0.135179,0.028982
0.973684,12,0.964189,0.035918,0.493943,0.017915,0.497588,0.018886,0.964194,0.04141,0.033854,0.023407,0.020788,0.007113,0.004294,0.007657,0.033858,0.024393
1,12,0.972713,0.033024,0.499868,0.018132,0.500756,0.016994,0.972719,0.037851,0.026895,0.02375,0.022818,0.006896,0.003052,0.006485,0.026891,0.024185
0.5,14,0.000867,0.006479,0.004958,0.012407,0.007435,0.029628,0.000868,0.00692,0.001005,0.00564,0.005814,0.007892,0.006269,0.012479,0.001011,0.005879
0.526316,14,0.001301,0.007244,0.013739,0.017893,0.017892,0.043277,0.001301,0.007862,0.00142,0.005579,0.010568,0.009504,0.011063,0.013512,0.001426,0.005893
0.552632,14,0.007485,0.008389,0.041926,0.022942,0.07033,0.074379,0.007486,0.011313,0.009203,0.006668,0.031825,0.013548,0.019197,0.00982,0.009211,0.008351
0.578947,14,0.015943,0.010396,0.066569,0.018567,0.119876,0.088847,0.015943,0.015151,0.019046,0.008977,0.057709,0.01252,0.020404,0.006614,0.019049,0.011895
0.605263,14,0.043707,0.017432,0.032918,0.015004,0.164362,0.093628,0.043711,0.027541,0.024774,0.013924,0.058355,0.01306,0.019014,0.006038,0.024785,0.014176
0.631579,14,0.334132,0.037997,0.032794,0.016978,0.20192,0.07564,0.334121,0.054382,0.314425,0.023668,0.056971,0.014701,0.016315,0.024399,0.314414,0.022743
0.657895,14,0.264265,0.039876,0.057472,0.019286,0.240932,0.083419,0.264275,0.057247,0.204883,0.026575,0.069721,0.014869,0.015982,0.019561,0.204904,0.027258
0.684211,14,0.273544,0.047339,0.022482,0.014961,0.255036,0.08177,0.273517,0.066911,0.116551,0.022306,0.048995,0.015606,0.011523,0.01304,0.116569,0.017174
0.710526,14,0.347048,0.041307,0.107579,0.0286,0.28767,0.072759,0.347041,0.063168,0.174233,0.024179,0.076613,0.01851,0.024185,0.019539,0.17425,0.021921
0.736842,14,0.45953,0.051086,0.1936,0.034024,0.323374,0.057754,0.459522,0.074807,0.070993,0.027299,0.043389,0.017698,0.015872,0.006762,0.071028,0.020007
0.763158,14,0.477655,0.053497,0.239137,0.029473,0.348999,0.054552,0.477633,0.076316,0.102201,0.02938,0.038363,0.013996,0.011729,0.006237,0.102223,0.021926
0.789474,14,0.558828,0.059318,0.279244,0.027954,0.364609,0.049244,0.558829,0.080025,0.142408,0.0324,0.043398,0.015395,0.008765,0.009555,0.142424,0.024898
0.815789,14,0.4774,0.054139,0.30614,0.028283,0.387334,0.052987,0.477409,0.07666,0.103722,0.028277,0.025086,0.014899,0.009805,0.006136,0.103735,0.021033
0.842105,14,0.494482,0.050934,0.326797,0.027059,0.40219,0.052154,0.494484,0.071879,0.196031,0.023503,0.048846,0.012832,0.0123,0.011324,0.196037,0.017422
0.868421,14,0.584479,0.059994,0.381838,0.022746,0.430272,0.044592,0.584482,0.078066,0.207371,0.039496,0.025834,0.010849,0.007578,0.014314,0.207373,0.035024
