T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
1380	0.952733	0.984400	0.997600	0.983533	0.961733	0.993000	0.890667	0.950600	0.985267	0.984667	
1390	0.959867	0.988333	0.996667	0.981800	0.963200	0.993267	0.892333	0.955533	0.989267	0.984600	
1400	0.961000	0.987467	0.998200	0.984800	0.966067	0.992867	0.895467	0.955400	0.995000	0.985867	
1410	0.961867	0.987067	0.997467	0.986133	0.965533	0.993133	0.901067	0.955400	0.995200	0.986600	
1420	0.961400	0.986467	0.996733	0.985800	0.967867	0.994000	0.904733	0.955467	0.996067	0.986867	
1430	0.961067	0.989133	0.997400	0.983000	0.967933	0.991867	0.917533	0.954133	0.997133	0.987467	
1440	0.969733	0.989067	0.997067	0.983800	0.966800	0.992733	0.925533	0.957733	0.996133	0.987400	
1450	0.968267	0.990200	0.998800	0.987000	0.968467	0.993867	0.932867	0.959067	0.996067	0.984267	
1460	0.970000	0.989200	0.998067	0.986600	0.968133	0.992333	0.935733	0.955200	0.995867	0.985867	
1470	0.974267	0.988933	0.996400	0.987533	0.967067	0.993333	0.939133	0.960000	0.995533	0.984800	
1480	0.977067	0.988000	0.996533	0.988133	0.967267	0.992800	0.937400	0.957333	0.995067	0.985533	
1490	0.976800	0.986667	0.995467	0.987133	0.967867	0.993933	0.939333	0.959800	0.994133	0.983667	
1500	0.978400	0.987133	0.995933	0.987533	0.966800	0.993333	0.939333	0.959200	0.994533	0.984000	
1510	0.981800	0.988200	0.995067	0.989200	0.969133	0.993467	0.942867	0.962067	0.993333	0.983800	
1520	0.979933	0.990867	0.993800	0.987933	0.968400	0.991400	0.947467	0.961733	0.992733	0.983600	
1530	0.981267	0.986733	0.994733	0.986467	0.970800	0.992267	0.953600	0.962400	0.991933	0.983800	
1540	0.981933	0.987467	0.996867	0.986133	0.971133	0.993867	0.954400	0.959867	0.994933	0.984600	
1550	0.976467	0.988133	0.995400	0.987200	0.971400	0.992667	0.956467	0.963133	0.995867	0.984067	
1560	0.977333	0.988067	0.995867	0.987333	0.970600	0.994200	0.960133	0.962533	0.995200	0.985267	
1570	0.968133	0.990933	0.994333	0.987067	0.969600	0.993333	0.962000	0.960200	0.994933	0.984733	
1580	0.974333	0.992800	0.997667	0.987800	0.971667	0.991667	0.960667	0.963000	0.996800	0.984200	
1590	0.979000	0.992067	0.996667	0.986067	0.970867	0.991933	0.968067	0.965533	0.996667	0.982467	
1600	0.979400	0.991267	0.997267	0.987600	0.971867	0.991800	0.968200	0.965533	0.997000	0.981667	
1610	0.980800	0.993733	0.998200	0.989200	0.974067	0.993533	0.966667	0.966933	0.996467	0.981267	
1620	0.981667	0.992667	0.998333	0.987133	0.973400	0.991600	0.970933	0.964400	0.997067	0.979267	
1630	0.984067	0.993600	0.998000	0.987200	0.974867	0.992733	0.970867	0.963333	0.997133	0.981333	
1640	0.984733	0.992867	0.998267	0.987200	0.973133	0.993867	0.971467	0.960133	0.997600	0.980533	
1650	0.989467	0.992867	0.997667	0.986733	0.970400	0.990933	0.970467	0.957867	0.999333	0.982733	
1660	0.986533	0.990667	0.997733	0.988533	0.971733	0.993533	0.969400	0.964600	0.997600	0.985200	
1670	0.985667	0.989600	0.998400	0.989667	0.970133	0.991333	0.972667	0.968400	0.998467	0.984667	
1680	0.985200	0.989933	0.998467	0.988200	0.970867	0.990333	0.972933	0.963933	0.998200	0.985733	
1690	0.986600	0.992000	0.997933	0.988533	0.970467	0.992133	0.974467	0.965067	0.996533	0.984667	
1700	0.990867	0.993600	0.998600	0.987267	0.972467	0.991133	0.976000	0.962333	0.995333	0.983333	
1710	0.989000	0.991600	0.998267	0.988200	0.973933	0.990600	0.980067	0.964400	0.995200	0.984467	
1720	0.990200	0.991267	0.999133	0.985000	0.969533	0.992333	0.977000	0.963600	0.993133	0.982600	
1730	0.991867	0.991667	0.998400	0.985600	0.973067	0.992800	0.980067	0.963533	0.994867	0.981400	
1740	0.989800	0.991000	0.997733	0.984467	0.973667	0.993867	0.984733	0.963933	0.993933	0.983000	
1750	0.992000	0.992733	0.997067	0.985067	0.970667	0.993800	0.984467	0.967467	0.994867	0.983533	
1760	0.991667	0.989867	0.997267	0.987267	0.971733	0.994000	0.988000	0.963800	0.995800	0.983600	
1770	0.991400	0.991933	0.995600	0.984933	0.971000	0.996267	0.988467	0.967533	0.994533	0.984000	
1780	0.989333	0.992067	0.995000	0.986400	0.969533	0.997000	0.987200	0.965467	0.996133	0.982733	
1790	0.992400	0.994333	0.994933	0.985733	0.969867	0.994867	0.987267	0.965600	0.997533	0.984000	
1800	0.991400	0.993267	0.994800	0.988667	0.967933	0.994600	0.983667	0.960867	0.998267	0.985000	
1810	0.993400	0.994067	0.996200	0.987867	0.972800	0.994667	0.982867	0.962467	0.997467	0.981933	
1820	0.994333	0.994667	0.995333	0.989400	0.967733	0.995067	0.987533	0.965800	0.997133	0.981067	
1830	0.993333	0.994667	0.994267	0.988933	0.969000	0.995067	0.988867	0.966533	0.996800	0.982667	
1840	0.993867	0.992533	0.993400	0.989933	0.972067	0.994800	0.989467	0.964667	0.996467	0.982133	
1850	0.997333	0.994133	0.994000	0.988133	0.970467	0.994667	0.990000	0.964867	0.994733	0.979667	
1860	0.995267	0.992000	0.992200	0.987067	0.968267	0.991800	0.990067	0.968133	0.992933	0.977867	
1870	0.995733	0.990933	0.993733	0.988600	0.967667	0.992667	0.992467	0.968867	0.993600	0.979200	
1880	0.996067	0.990600	0.996067	0.986800	0.965000	0.993533	0.993600	0.969600	0.993133	0.979867	
1890	0.997133	0.992600	0.997733	0.986867	0.966733	0.992867	0.991600	0.977000	0.992333	0.979067	
1900	0.996733	0.993000	0.996400	0.988000	0.966000	0.994667	0.994600	0.974933	0.992867	0.980000	
1910	0.995867	0.990867	0.995200	0.988867	0.970467	0.994400	0.989467	0.978067	0.993533	0.980000	
1920	0.996333	0.991533	0.995467	0.988467	0.964267	0.994267	0.990933	0.976067	0.993000	0.979667	
1930	0.997533	0.990200	0.996133	0.989067	0.965467	0.994733	0.991333	0.975800	0.995400	0.981867	
1940	0.997200	0.992533	0.994733	0.990267	0.969000	0.993667	0.992333	0.973800	0.995133	0.981600	
1950	0.996600	0.990867	0.994400	0.987733	0.965067	0.995467	0.995000	0.972400	0.997267	0.983667	
1960	0.995667	0.984933	0.991600	0.989933	0.965267	0.995067	0.994800	0.977333	0.996000	0.983533	
1970	0.992867	0.989067	0.994667	0.987933	0.966600	0.995267	0.995800	0.977067	0.995933	0.984200	
1980	0.993400	0.991733	0.994867	0.989333	0.967533	0.993467	0.994200	0.978733	0.995667	0.986067	
1990	0.995000	0.988867	0.995667	0.991200	0.971867	0.995133	0.995067	0.979000	0.997600	0.987467	
2000	0.994867	0.991267	0.994400	0.989333	0.969067	0.993133	0.997867	0.980333	0.995000	0.987800	
2010	0.994533	0.992733	0.994200	0.989133	0.970867	0.993667	0.997867	0.974467	0.998133	0.987867	
2020	0.993800	0.993667	0.996133	0.989733	0.970933	0.992200	0.997800	0.974400	0.995400	0.987467	
2030	0.996000	0.993733	0.995933	0.991000	0.970200	0.992200	0.998400	0.975333	0.997400	0.990333	
2040	0.995933	0.995133	0.995267	0.991267	0.969733	0.990800	0.998333	0.974667	0.997400	0.988267	
2050	0.994400	0.995067	0.996800	0.991067	0.972000	0.992200	0.999067	0.974667	0.996933	0.988067	
2060	0.995600	0.995600	0.996733	0.989867	0.972733	0.989933	0.997000	0.977400	0.994533	0.991467	
2070	0.996933	0.994867	0.996067	0.990733	0.972600	0.985800	0.996400	0.978467	0.994067	0.990467	
2080	0.995733	0.992867	0.995533	0.989733	0.974133	0.987733	0.996867	0.981067	0.996800	0.989733	
2090	0.994200	0.993933	0.996267	0.993667	0.969933	0.987800	0.996000	0.982733	0.995333	0.990867	
2100	0.994533	0.993667	0.997133	0.993000	0.969267	0.984600	0.995800	0.978733	0.996133	0.987533	
2110	0.993933	0.993667	0.996133	0.992067	0.968000	0.985333	0.995733	0.978133	0.996800	0.988733	
2120	0.993333	0.993333	0.994800	0.990333	0.967867	0.985933	0.995200	0.980533	0.997467	0.988267	
2130	0.994733	0.993200	0.994933	0.993200	0.965600	0.990200	0.994600	0.977667	0.997733	0.988800	
