essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.631579,14,0.048283,0.013641,0.056794,0.015892,0.197445,0.098293,0.04828,0.025493,0.031372,0.009071,0.076827,0.012698,0.014459,0.007915,0.031383,0.011101
0.657895,14,0.057581,0.014957,0.057106,0.018015,0.222089,0.099837,0.057586,0.027993,0.036457,0.011171,0.072549,0.014171,0.011502,0.008254,0.036467,0.012487
0.684211,14,0.070895,0.018216,0.064158,0.017307,0.248682,0.10044,0.070899,0.031903,0.042821,0.012851,0.087419,0.012669,0.017828,0.009318,0.042836,0.013782
0.710526,14,0.06671,0.013557,0.077587,0.023691,0.285605,0.102185,0.066705,0.029031,0.042803,0.008929,0.074141,0.013777,0.021179,0.007717,0.042813,0.009677
0.736842,14,0.065441,0.014505,0.080244,0.027545,0.330199,0.100655,0.065438,0.030548,0.00929,0.009127,0.050764,0.013175,0.012867,0.003803,0.009328,0.00594
0.763158,14,0.07605,0.015123,0.069746,0.028264,0.348673,0.097514,0.076053,0.032583,0.010623,0.009922,0.039498,0.015652,0.010719,0.00413,0.010673,0.006172
0.789474,14,0.095144,0.02186,0.069416,0.029658,0.375406,0.092656,0.09514,0.039095,0.018552,0.015354,0.047901,0.016607,0.014563,0.004998,0.018572,0.010903
0.815789,14,0.113768,0.022812,0.076125,0.033184,0.400534,0.08698,0.113761,0.041513,0.013414,0.013521,0.04703,0.019366,0.00927,0.003832,0.013468,0.009092
0.842105,14,0.140034,0.024255,0.089655,0.040933,0.414114,0.081911,0.14004,0.04448,0.024076,0.011523,0.061032,0.020675,0.009243,0.004304,0.024111,0.007722
0.868421,14,0.14669,0.023131,0.134464,0.047086,0.424449,0.080299,0.146683,0.04478,0.022041,0.013128,0.094632,0.027194,0.00981,0.004639,0.022098,0.008191
0.894737,14,0.138061,0.027181,0.298689,0.045007,0.444097,0.081416,0.138052,0.046301,0.021525,0.014465,0.083632,0.023324,0.011522,0.004441,0.021564,0.009929
0.921053,14,0.165572,0.034706,0.411475,0.03843,0.45854,0.076863,0.165572,0.053094,0.039338,0.016973,0.039404,0.017736,0.004987,0.006063,0.039368,0.012495
0.947368,14,0.16988,0.032546,0.436256,0.034257,0.461358,0.076086,0.169885,0.052213,0.025155,0.015625,0.038304,0.017763,0.005661,0.004533,0.025193,0.010457
0.973684,14,0.159783,0.033665,0.425666,0.038972,0.464246,0.078354,0.159785,0.052017,0.032178,0.017187,0.039054,0.019137,0.008652,0.006014,0.032209,0.013052
1,14,0.151001,0.033736,0.476465,0.042542,0.493325,0.081827,0.151002,0.051553,0.029687,0.017145,0.047188,0.020853,0.027376,0.005621,0.029723,0.012656
0.5,16,0.000697,0.00561,0.003797,0.011601,0.005889,0.025826,0.000697,0.005888,0.000849,0.005229,0.004626,0.008662,0.005478,0.012658,0.000853,0.005413
0.526316,16,0.001085,0.005853,0.013189,0.017049,0.017341,0.038873,0.001085,0.006338,0.001503,0.005485,0.014648,0.01025,0.015361,0.016506,0.001506,0.005723
0.552632,16,0.001347,0.005082,0.058059,0.022675,0.063947,0.067806,0.001347,0.005737,0.002419,0.00438,0.024158,0.010633,0.018236,0.008833,0.002418,0.004846
0.578947,16,0.001982,0.005532,0.104513,0.020844,0.111648,0.083161,0.001984,0.006149,0.004723,0.005156,0.02326,0.011054,0.011581,0.005411,0.004731,0.00592
0.605263,16,0.010367,0.007984,0.103318,0.022557,0.148762,0.091424,0.010369,0.010905,0.015341,0.007034,0.066036,0.014648,0.016536,0.006303,0.015348,0.009068
