essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.763158,6,0.986592,0.0288285,0.27388,0.039197,0.3339485,0.0197785,0.9865915,0.0396565,0.008471,0.011588,0.029376,0.0127605,0.0017525,0.005726,0.0084905,0.014367
0.789474,6,0.985514,0.0277715,0.2840035,0.0450925,0.3345965,0.020336,0.9855085,0.039333,0.0109025,0.012363,0.038454,0.0174945,0.0017555,0.006265,0.0109275,0.0157055
0.815789,6,0.97301,0.040191,0.2873155,0.0370725,0.336834,0.025583,0.9730045,0.0550645,0.0200735,0.0180105,0.0314935,0.012408,0.0033795,0.0089995,0.0200905,0.0218845
0.842105,6,0.9057565,0.060188,0.312672,0.0354985,0.349784,0.049503,0.905762,0.0918195,0.064297,0.0274595,0.022315,0.0108465,0.0088885,0.013856,0.064306,0.0333185
0.868421,6,0.913891,0.0655795,0.466226,0.038603,0.482391,0.05106,0.9138985,0.0948995,0.041087,0.022343,0.0222025,0.0126605,0.008981,0.0124215,0.041119,0.023968
0.894737,6,0.981504,0.033532,0.475219,0.038721,0.496199,0.0252055,0.981496,0.0453785,0.0156825,0.0178605,0.0365275,0.011507,0.003238,0.0096105,0.0156915,0.0221005
0.921053,6,0.9890205,0.024956,0.4858535,0.0357335,0.49855,0.0189065,0.9890195,0.03479,0.0082685,0.0111575,0.0318705,0.011617,0.001773,0.006309,0.008286,0.0144335
0.947368,6,0.9912915,0.020952,0.4959455,0.040113,0.499402,0.0162285,0.99129,0.0301705,0.0066255,0.0093435,0.033807,0.0102625,0.00134,0.005473,0.006645,0.0123105
0.973684,6,0.9923105,0.0202905,0.4922225,0.040188,0.499487,0.0152365,0.992309,0.028784,0.0054055,0.0076715,0.029535,0.01303,0.001049,0.004718,0.005428,0.0106535
1,6,0.9938165,0.0187095,0.5039085,0.039511,0.5000405,0.0141145,0.9938135,0.0261245,0.0043255,0.007114,0.027433,0.012294,0.000905,0.0043525,0.0043485,0.009597
0.5,8,0.001175,0.008233,0.003054,0.011772,0.005267,0.029696,0.001175,0.009968,0.000949,0.00474,0.002476,0.005733,0.003229,0.00985,0.000964,0.00542
0.526316,8,0.001709,0.009588,0.004888,0.015315,0.008204,0.037356,0.001709,0.011765,0.001463,0.005248,0.003655,0.007137,0.004217,0.010416,0.001474,0.006095
0.552632,8,0.005507,0.011504,0.024981,0.025884,0.036953,0.072376,0.005506,0.016436,0.006857,0.006196,0.016849,0.010568,0.013992,0.013161,0.006864,0.009518
0.578947,8,0.021137,0.013197,0.051681,0.022036,0.094637,0.104283,0.021133,0.026216,0.023105,0.007096,0.044202,0.01111,0.014025,0.00694,0.02311,0.016631
0.605263,8,0.073738,0.023401,0.01226,0.013948,0.1453,0.115763,0.073757,0.054259,0.02297,0.011406,0.03031,0.009419,0.012327,0.004574,0.023009,0.012449
0.631579,8,0.127183,0.031226,0.001531,0.009624,0.194948,0.120836,0.127199,0.070878,0.018415,0.01451,0.001825,0.005928,0.013827,0.003,0.018512,0.009607
0.657895,8,0.274293,0.054247,0.017311,0.010721,0.23626,0.112117,0.274271,0.092732,0.225484,0.025849,0.051755,0.009724,0.012513,0.026033,0.225513,0.019377
0.684211,8,0.464653,0.073476,0.052632,0.016035,0.257416,0.095967,0.464629,0.11021,0.258627,0.032509,0.082709,0.012083,0.012191,0.034408,0.258636,0.02854
0.710526,8,0.516158,0.04475,0.118552,0.02838,0.284466,0.087665,0.516154,0.088223,0.319785,0.025233,0.080084,0.016899,0.018365,0.037462,0.319789,0.020277
0.736842,8,0.540528,0.047176,0.193765,0.03288,0.330191,0.084874,0.540517,0.097875,0.223306,0.022475,0.071609,0.01391,0.007993,0.024284,0.223319,0.018716
0.763158,8,0.918601,0.04997,0.323924,0.025658,0.369907,0.033339,0.918588,0.068893,0.05654,0.022229,0.026484,0.009841,0.004829,0.011388,0.056548,0.027198
0.789474,8,0.968277,0.041103,0.344557,0.027612,0.374721,0.022616,0.968271,0.050243,0.032953,0.029764,0.033112,0.009631,0.00303,0.008516,0.032968,0.032231
0.815789,8,0.968709,0.037553,0.338548,0.029001,0.375479,0.022439,0.968711,0.048032,0.025546,0.019112,0.024943,0.009245,0.002891,0.007419,0.025555,0.021915
0.842105,8,0.948424,0.047876,0.351578,0.028368,0.380652,0.029589,0.948426,0.061238,0.04195,0.021115,0.021215,0.010373,0.005546,0.010732,0.041966,0.024386
0.868421,8,0.73856,0.072209,0.370044,0.026138,0.411438,0.061539,0.738565,0.110844,0.05782,0.030802,0.016917,0.010061,0.008829,0.006006,0.05789,0.019826
0.894737,8,0.628736,0.068674,0.432172,0.034722,0.454917,0.069067,0.628734,0.114718,0.088987,0.030676,0.031621,0.012229,0.010435,0.006716,0.089025,0.019689
0.921053,8,0.782038,0.069348,0.466088,0.024638,0.473754,0.054897,0.782035,0.103718,0.086854,0.025687,0.014265,0.008135,0.009054,0.009667,0.086891,0.018924
0.947368,8,0.972412,0.035611,0.493086,0.027262,0.497899,0.020648,0.972399,0.045692,0.021202,0.018242,0.030227,0.00852,0.003195,0.007578,0.021226,0.019982
0.973684,8,0.982763,0.02773,0.493051,0.027324,0.499458,0.017286,0.982763,0.035847,0.014074,0.013811,0.029103,0.010681,0.001731,0.0058,0.014089,0.015494
1,8,0.983034,0.025852,0.487641,0.033467,0.499451,0.016311,0.983029,0.034517,0.012063,0.011957,0.024827,0.01093,0.001702,0.005322,0.012076,0.013545
0.5,10,0.000965,0.007105,0.003246,0.012393,0.005446,0.028408,0.000965,0.008057,0.000958,0.004644,0.002936,0.007046,0.003796,0.010728,0.000967,0.005194
0.526316,10,0.001503,0.008099,0.00736,0.016474,0.01114,0.038875,0.001501,0.00951,0.001442,0.005059,0.00752,0.008954,0.007975,0.013494,0.001447,0.005647
0.552632,10,0.004353,0.009198,0.038959,0.024713,0.051084,0.074525,0.004354,0.012261,0.005836,0.005917,0.026331,0.009358,0.020034,0.01336,0.005843,0.008078
0.578947,10,0.008341,0.009108,0.082203,0.025672,0.105235,0.100146,0.008341,0.013781,0.014607,0.00594,0.039485,0.010866,0.017427,0.007654,0.014605,0.010708
0.605263,10,0.039632,0.01532,0.056449,0.019795,0.150759,0.108751,0.039636,0.030173,0.033563,0.009805,0.056098,0.01164,0.018758,0.005306,0.03358,0.016108
0.631579,10,0.077931,0.021896,0.03039,0.014865,0.190453,0.111665,0.077935,0.044743,0.038991,0.012891,0.051347,0.012188,0.015605,0.006226,0.03901,0.014734
